Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicates,create_date,version,Sample Name,SRA Study
SRR18511655,WGS,563,553146729,PRJNA820561,SAMN27009942,Metagenome or environmental,143970190,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642845,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.29 E,PB0R3,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PB0R replicates,2022-03-28T21:54:00Z,1,PB0R3,SRP366399
SRR18511657,WGS,554,499542745,PRJNA820561,SAMN27009940,Metagenome or environmental,130075463,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642843,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.27 E,PB0R1,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PB0R replicates,2022-03-28T21:54:00Z,1,PB0R1,SRP366399
SRR18511658,WGS,589,672148345,PRJNA820561,SAMN27009939,Metagenome or environmental,174742934,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642842,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.26 E,PA4B3,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA4B replicates,2022-03-28T21:54:00Z,1,PA4B3,SRP366399
SRR18511659,WGS,593,414988946,PRJNA820561,SAMN27009938,Metagenome or environmental,107895877,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642841,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.25 E,PA4B2,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA4B replicates,2022-03-28T21:54:00Z,1,PA4B2,SRP366399
SRR18511660,WGS,574,551386899,PRJNA820561,SAMN27009937,Metagenome or environmental,143450606,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642840,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.24 E,PA4B1,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA4B replicates,2022-03-28T21:54:00Z,1,PA4B1,SRP366399
SRR18511661,WGS,554,487051566,PRJNA820561,SAMN27009936,Metagenome or environmental,126826747,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642839,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.23 E,PA0R4,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA0R replicates,2022-03-28T21:55:00Z,1,PA0R4,SRP366399
SRR18511664,WGS,537,595425488,PRJNA820561,SAMN27009935,Metagenome or environmental,155143291,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642836,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.22 E,PA0R3,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA0R replicates,2022-03-28T21:54:00Z,1,PA0R3,SRP366399
SRR18511665,WGS,544,547472525,PRJNA820561,SAMN27009934,Metagenome or environmental,142607664,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642835,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.21 E,PA0R2,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PA0R replicates,2022-03-28T21:54:00Z,1,PA0R2,SRP366399
SRR18511654,WGS,574,557830003,PRJNA820561,SAMN27009943,Metagenome or environmental,145120252,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642846,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.30 E,PB4R1,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PB4R replicates,2022-03-28T21:54:00Z,1,PB4R1,SRP366399
SRR18511656,WGS,572,583237265,PRJNA820561,SAMN27009941,Metagenome or environmental,151740988,GUANGZHOU UNIVERSITY,2020-03-19,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14642844,China,Asia,China: GuangZhou,Southeast Viewpoint,Illumina NovaSeq 6000,Greenhouse Potted Plants,23.02 N 113.28 E,PB0R2,SINGLE,RANDOM,METAGENOMIC,plant metagenome,ILLUMINA,2026-03-25T00:00:00Z,PB0R replicates,2022-03-28T21:54:00Z,1,PB0R2,SRP366399
